State,Year,Month,Crime Description,Crime Count,Month_sin,Month_cos,Lag_1,Lag_3,Rolling_Mean_3
Andhra Pradesh,2024,1,ARSON,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.6666666666666667
Andhra Pradesh,2024,1,ASSAULT,1,0.49999999999999994,0.8660254037844387,2.0,2.0,2.0
Andhra Pradesh,2024,1,BURGLARY,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.3333333333333333
Andhra Pradesh,2024,1,COUNTERFEITING,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.3333333333333333
Andhra Pradesh,2024,1,CYBERCRIME,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,DOMESTIC VIOLENCE,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.3333333333333333
Andhra Pradesh,2024,1,DRUG OFFENSE,1,0.49999999999999994,0.8660254037844387,2.0,2.0,2.0
Andhra Pradesh,2024,1,EXTORTION,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,FIREARM OFFENSE,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,FRAUD,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,HOMICIDE,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.3333333333333333
Andhra Pradesh,2024,1,IDENTITY THEFT,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.3333333333333333
Andhra Pradesh,2024,1,ILLEGAL POSSESSION,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.3333333333333333
Andhra Pradesh,2024,1,KIDNAPPING,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,PUBLIC INTOXICATION,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,ROBBERY,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,SEXUAL ASSAULT,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,SHOPLIFTING,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,TRAFFIC VIOLATION,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Andhra Pradesh,2024,1,VANDALISM,1,0.49999999999999994,0.8660254037844387,1.0,3.0,1.6666666666666667
Andhra Pradesh,2024,1,VEHICLE - STOLEN,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.3333333333333333
Bihar,2024,1,ARSON,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.6666666666666667
Bihar,2024,1,ASSAULT,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.3333333333333333
Bihar,2024,1,BURGLARY,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Bihar,2024,1,COUNTERFEITING,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Bihar,2024,1,CYBERCRIME,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.3333333333333333
Bihar,2024,1,DOMESTIC VIOLENCE,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Bihar,2024,1,DRUG OFFENSE,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.6666666666666667
Bihar,2024,1,EXTORTION,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.3333333333333333
Bihar,2024,1,FIREARM OFFENSE,1,0.49999999999999994,0.8660254037844387,2.0,1.0,1.3333333333333333
Bihar,2024,1,FRAUD,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.3333333333333333
Bihar,2024,1,HOMICIDE,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Bihar,2024,1,IDENTITY THEFT,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
Bihar,2024,1,ILLEGAL POSSESSION,1,0.49999999999999994,0.8660254037844387,1.0,2.0,1.3333333333333333
Bihar,2024,1,KIDNAPPING,1,0.49999999999999994,0.8660254037844387,1.0,1.0,1.0
