State,Year,Month,Crime Description,Crime Count,Cluster_ID
Andhra Pradesh,2020,1,BURGLARY,1.0,3
Andhra Pradesh,2020,1,COUNTERFEITING,2.0,3
Andhra Pradesh,2020,1,CYBERCRIME,2.0,3
Andhra Pradesh,2020,1,DOMESTIC VIOLENCE,1.0,3
Andhra Pradesh,2020,1,DRUG OFFENSE,1.0,3
Andhra Pradesh,2020,1,FIREARM OFFENSE,1.0,3
Andhra Pradesh,2020,1,FRAUD,1.0,3
Andhra Pradesh,2020,1,HOMICIDE,1.0,3
Andhra Pradesh,2020,1,ILLEGAL POSSESSION,1.0,3
Andhra Pradesh,2020,1,ROBBERY,1.0,3
Andhra Pradesh,2020,1,VANDALISM,1.0,3
Andhra Pradesh,2020,1,VEHICLE - STOLEN,1.0,3
Andhra Pradesh,2020,2,ARSON,2.0,0
Andhra Pradesh,2020,2,CYBERCRIME,1.0,0
Andhra Pradesh,2020,2,EXTORTION,1.0,0
Andhra Pradesh,2020,2,FRAUD,1.0,0
Andhra Pradesh,2020,2,HOMICIDE,1.0,0
Andhra Pradesh,2020,2,ILLEGAL POSSESSION,1.0,0
Andhra Pradesh,2020,2,ROBBERY,1.0,0
Andhra Pradesh,2020,3,ARSON,1.0,0
Andhra Pradesh,2020,3,DRUG OFFENSE,3.0,0
Andhra Pradesh,2020,3,EXTORTION,1.0,0
Andhra Pradesh,2020,3,HOMICIDE,2.0,0
Andhra Pradesh,2020,3,ILLEGAL POSSESSION,2.0,0
Andhra Pradesh,2020,3,KIDNAPPING,2.0,0
Andhra Pradesh,2020,3,SHOPLIFTING,1.0,0
Andhra Pradesh,2020,3,VANDALISM,2.0,0
Andhra Pradesh,2020,4,CYBERCRIME,1.0,0
Andhra Pradesh,2020,4,DOMESTIC VIOLENCE,1.0,0
Andhra Pradesh,2020,4,FIREARM OFFENSE,1.0,0
Andhra Pradesh,2020,4,IDENTITY THEFT,1.0,0
Andhra Pradesh,2020,4,ROBBERY,1.0,0
Andhra Pradesh,2020,4,SHOPLIFTING,1.0,0
Andhra Pradesh,2020,4,TRAFFIC VIOLATION,1.0,0
Andhra Pradesh,2020,5,ARSON,3.0,0
Andhra Pradesh,2020,5,COUNTERFEITING,1.0,0
Andhra Pradesh,2020,5,CYBERCRIME,1.0,0
Andhra Pradesh,2020,5,DOMESTIC VIOLENCE,1.0,0
Andhra Pradesh,2020,5,KIDNAPPING,1.0,0
Andhra Pradesh,2020,5,ROBBERY,1.0,0
Andhra Pradesh,2020,5,SEXUAL ASSAULT,2.0,0
Andhra Pradesh,2020,5,SHOPLIFTING,1.0,0
Andhra Pradesh,2020,5,TRAFFIC VIOLATION,1.0,0
Andhra Pradesh,2020,5,VANDALISM,4.0,0
Andhra Pradesh,2020,5,VEHICLE - STOLEN,2.0,0
Andhra Pradesh,2020,6,BURGLARY,2.0,3
Andhra Pradesh,2020,6,COUNTERFEITING,1.0,3
Andhra Pradesh,2020,6,CYBERCRIME,2.0,3
Andhra Pradesh,2020,6,DOMESTIC VIOLENCE,1.0,3
Andhra Pradesh,2020,6,FIREARM OFFENSE,1.0,3
Andhra Pradesh,2020,6,FRAUD,1.0,3
Andhra Pradesh,2020,6,IDENTITY THEFT,1.0,3
Andhra Pradesh,2020,6,KIDNAPPING,4.0,3
Andhra Pradesh,2020,6,PUBLIC INTOXICATION,2.0,3
Andhra Pradesh,2020,6,ROBBERY,2.0,3
Andhra Pradesh,2020,6,SHOPLIFTING,1.0,3
Andhra Pradesh,2020,6,TRAFFIC VIOLATION,2.0,3
Andhra Pradesh,2020,6,VEHICLE - STOLEN,1.0,3
Andhra Pradesh,2020,7,DOMESTIC VIOLENCE,1.0,0
Andhra Pradesh,2020,7,FIREARM OFFENSE,2.0,0
Andhra Pradesh,2020,7,FRAUD,2.0,0
Andhra Pradesh,2020,7,ILLEGAL POSSESSION,2.0,0
Andhra Pradesh,2020,7,SEXUAL ASSAULT,1.0,0
Andhra Pradesh,2020,7,SHOPLIFTING,1.0,0
Andhra Pradesh,2020,7,TRAFFIC VIOLATION,2.0,0
Andhra Pradesh,2020,7,VANDALISM,3.0,0
Andhra Pradesh,2020,8,ARSON,1.0,0
Andhra Pradesh,2020,8,COUNTERFEITING,1.0,0
Andhra Pradesh,2020,8,DOMESTIC VIOLENCE,1.0,0
Andhra Pradesh,2020,8,DRUG OFFENSE,2.0,0
Andhra Pradesh,2020,8,IDENTITY THEFT,1.0,0
Andhra Pradesh,2020,8,KIDNAPPING,1.0,0
Andhra Pradesh,2020,8,PUBLIC INTOXICATION,1.0,0
Andhra Pradesh,2020,8,ROBBERY,2.0,0
Andhra Pradesh,2020,8,SEXUAL ASSAULT,1.0,0
Andhra Pradesh,2020,8,TRAFFIC VIOLATION,1.0,0
Andhra Pradesh,2020,9,DOMESTIC VIOLENCE,3.0,0
Andhra Pradesh,2020,9,DRUG OFFENSE,1.0,0
Andhra Pradesh,2020,9,EXTORTION,1.0,0
Andhra Pradesh,2020,9,FRAUD,1.0,0
Andhra Pradesh,2020,9,ILLEGAL POSSESSION,1.0,0
